127.0.0.1 - - [13/Sep/2023:14:28:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:28:20 +0900] "GET /smtv/*.do HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:28:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:28:36 +0900] "GET /smtv/regBoardForm.do HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:29:04 +0900] "POST /smtv/regBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:29:07 +0900] "POST /smtv/regBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:29:12 +0900] "GET /smtv/boardList.do HTTP/1.1" 200 10551
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:29:18 +0900] "GET /smtv/boardDetail.do?board_ID=701 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:29:26 +0900] "GET /smtv/updateBoardForm.do?board_ID=701 HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:30:17 +0900] "GET /smtv/delete.do?board_ID=701 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:30:20 +0900] "GET /smtv/boardList.do HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:30:38 +0900] "GET /smtv/boardDetail.do?board_ID=700 HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:30:44 +0900] "GET /smtv/delete.do?board_ID=700 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:30:47 +0900] "GET /smtv/boardList.do HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:31:05 +0900] "GET /smtv/boardDetail.do?board_ID=298 HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:31:08 +0900] "GET /smtv/boardDetail.do?board_ID=298 HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:31:10 +0900] "GET /smtv/boardDetail.do?board_ID=298 HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:31:44 +0900] "GET /smtv/updateCommentForm.do?board_ID=298&comment_ID= HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:34:51 +0900] "GET /smtv/regBoardForm.do HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:35:13 +0900] "POST /smtv/regBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:35:17 +0900] "GET /smtv/boardList.do HTTP/1.1" 200 10399
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:35:56 +0900] "GET /smtv/boardDetail.do?board_ID=702 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:42:35 +0900] "GET /smtv/boardDetail.do?board_ID=702 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:42:40 +0900] "GET /smtv/writeCommentForm.do?board_ID=702 HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:42:46 +0900] "POST /smtv/writeCommentForm.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:42:50 +0900] "GET /smtv/boardDetail.do?board_ID=702 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:43:04 +0900] "GET /smtv/boardDetail.do?board_ID=702 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:43:10 +0900] "GET /smtv/boardDetail.do?board_ID=702 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:43:18 +0900] "GET /smtv/boardDetail.do?board_ID=248 HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:43:20 +0900] "GET /smtv/writeCommentForm.do?board_ID=248 HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:43:26 +0900] "POST /smtv/writeCommentForm.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:43:28 +0900] "GET /smtv/boardDetail.do?board_ID=248 HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:45:41 +0900] "GET /smtv/regBoardForm.do HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:46:02 +0900] "POST /smtv/regBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:46:05 +0900] "GET /smtv/boardList.do HTTP/1.1" 200 10848
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:46:11 +0900] "GET /smtv/boardDetail.do?board_ID=705 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:46:12 +0900] "GET /smtv/writeCommentForm.do?board_ID=705 HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:46:20 +0900] "POST /smtv/writeCommentForm.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:46:23 +0900] "GET /smtv/boardDetail.do?board_ID=705 HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:46:26 +0900] "GET /smtv/writeCommentForm.do?board_ID=705 HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:48:50 +0900] "GET /smtv/boardList.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:48:56 +0900] "GET /smtv/boardList.%EC%95%A0 HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:03 +0900] "GET /smtv/boardList.do HTTP/1.1" 200 10848
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:10 +0900] "GET /smtv/boardDetail.do?board_ID=705 HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:12 +0900] "GET /smtv/boardDetail.do?board_ID=705 HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:21 +0900] "GET /smtv/regBoardForm.do HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:38 +0900] "POST /smtv/regBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:42 +0900] "GET /smtv/boardList.do HTTP/1.1" 200 10995
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:48 +0900] "GET /smtv/boardDetail.do?board_ID=706 HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:51 +0900] "GET /smtv/boardDetail.do?board_ID=706 HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:49:56 +0900] "GET /smtv/writeCommentForm.do?board_ID=706 HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:50:05 +0900] "POST /smtv/writeCommentForm.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:14:50:08 +0900] "GET /smtv/boardDetail.do?board_ID=706 HTTP/1.1" 200 569
