127.0.0.1 - - [11/Sep/2023:13:59:25 +0900] "GET / HTTP/1.1" 200 10048
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:26 +0900] "GET /index.jsp HTTP/1.1" 200 10048
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:26 +0900] "GET /css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:26 +0900] "GET /js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:26 +0900] "GET /css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:28 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:37 +0900] "GET /boardPage HTTP/1.1" 200 15921
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:37 +0900] "GET /css/BoardList.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:37 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:38 +0900] "POST /goBoard HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:42 +0900] "POST /goBoard HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:43 +0900] "POST /goBoard HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:44 +0900] "POST /goBoard HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:45 +0900] "POST /goBoard HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:46 +0900] "POST /goBoard HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:47 +0900] "POST /goBoard HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:48 +0900] "POST /goBoard HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:49 +0900] "POST /goBoard HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:51 +0900] "POST /goBoard HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:55 +0900] "GET /BoardInfo?board_ID=311 HTTP/1.1" 200 24869
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:55 +0900] "GET /css/BoardInfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:55 +0900] "GET /favicon.ico HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Sep/2023:13:59:56 +0900] "POST /listAns HTTP/1.1" 200 4820354
